Date,Open,High,Low,Close,Adj Close,Volume
2019-07-25,57.279999,57.860001,56.389999,56.970001,55.299454,3870700
2019-07-26,56.860001,57.380001,56.189999,56.500000,54.843231,2870900
2019-07-29,55.779999,56.009998,54.709999,55.790001,54.154057,4330400
2019-07-30,55.200001,56.820000,54.910000,56.590000,54.930592,3779100
2019-07-31,55.860001,56.070000,53.330002,53.889999,52.309769,8560900
2019-08-01,56.610001,58.500000,53.630001,55.509998,53.882267,13373600
2019-08-02,54.139999,55.340000,52.740002,54.389999,52.795101,6124100
2019-08-05,52.549999,53.080002,51.750000,52.750000,51.203194,5852700
2019-08-06,53.619999,54.500000,52.509998,53.580002,52.008862,6116500
2019-08-07,52.599998,54.500000,51.430000,52.830002,51.280849,8197700
2019-08-08,53.419998,55.270000,52.959999,55.200001,53.581356,4793400
2019-08-09,54.820000,54.939999,53.529999,54.259998,52.668915,3691300
2019-08-12,53.810001,54.320000,52.790001,54.169998,52.581558,4144000
2019-08-13,54.270000,56.720001,53.820000,55.599998,53.969624,4585500
2019-08-14,54.220001,54.790001,53.270000,54.430000,52.833935,4261700
2019-08-15,54.549999,54.700001,53.450001,54.060001,52.474785,2845100
2019-08-16,54.680000,55.830002,54.680000,55.189999,53.571648,3561300
2019-08-19,56.639999,57.669998,56.220001,57.250000,55.571243,5095800
2019-08-20,57.119999,57.279999,55.660000,56.189999,54.542324,3561700
2019-08-21,56.910000,57.529999,56.200001,56.349998,54.697628,2355600
2019-08-22,56.619999,57.290001,56.119999,56.919998,55.250916,2454000
2019-08-23,56.119999,56.939999,54.470001,54.630001,53.028072,3709700
2019-08-26,55.490002,55.759998,54.340000,54.639999,53.037773,2164300
2019-08-27,55.139999,55.299999,52.599998,52.660000,51.115837,3497900
2019-08-28,52.650002,53.630001,51.840000,53.439999,51.872963,3316100
2019-08-29,54.400002,55.740002,54.340000,55.080002,53.464874,3203000
2019-08-30,55.590000,57.410000,55.590000,57.270000,55.590660,4789900
2019-09-03,56.630001,57.840000,56.110001,57.470001,55.784790,4518400
2019-09-04,58.860001,61.330002,58.860001,59.330002,57.590252,6299200
2019-09-05,60.509998,62.209999,60.240002,61.950001,60.133423,5840000
2019-09-06,62.099998,62.840000,61.680000,62.240002,60.414921,4453400
2019-09-09,62.119999,63.169998,62.009998,62.750000,60.909962,3571300
2019-09-10,62.369999,62.869999,61.720001,62.270000,60.444038,3664100
2019-09-11,62.910000,64.879997,62.700001,64.300003,62.414516,5005800
2019-09-12,64.519997,65.160004,64.040001,64.699997,62.802780,3443100
2019-09-13,64.320000,65.309998,64.309998,64.599998,62.705711,2937100
2019-09-16,63.709999,63.720001,62.560001,62.990002,61.142929,4591800
2019-09-17,62.939999,64.019997,62.650002,63.910000,62.035950,2815800
2019-09-18,63.939999,63.990002,62.110001,63.560001,61.696213,3223400
2019-09-19,63.689999,63.880001,62.070000,62.650002,60.812893,4108100
2019-09-20,63.389999,63.389999,60.590000,60.680000,58.900665,8623700
2019-09-23,61.080002,61.730000,60.639999,60.990002,59.201572,3123200
2019-09-24,61.200001,61.419998,59.369999,59.580002,57.832920,3930200
2019-09-25,59.689999,62.049999,59.459999,61.049999,59.259811,6285500
2019-09-26,61.369999,62.500000,60.880001,61.799999,59.987820,4439600
2019-09-27,61.439999,62.500000,60.180000,60.490002,58.716236,5759500
2019-09-30,60.340000,60.439999,58.830002,59.639999,57.891159,3799400
2019-10-01,60.060001,61.110001,58.369999,58.590000,56.871952,3177100
2019-10-02,57.810001,57.939999,56.150002,56.820000,55.153851,5590700
2019-10-03,56.570000,57.820000,55.480000,57.779999,56.583622,4083100
2019-10-04,58.150002,58.740002,57.970001,58.570000,57.357262,2415300
2019-10-07,58.290001,58.750000,57.930000,57.990002,56.789276,2457300
2019-10-08,57.099998,57.299999,55.400002,55.520000,54.370415,4404300
